Country,System,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Iceland,Marine,,,,,3164.0,80163.0,,,,4738.0,,200.0,,,,2370.0,,,,,,,,
India,Freshwater,4245.0,8356.0,13692.0,12667.0,,327.0,27.0,3532.0,1041.0,2950.0,38.0,16631.0,21070.0,70803.0,54276.0,13762.0,4730.0,,,2745.0,1924.0,,2290.0,2329.0
India,Marine,,8356.0,13692.0,12667.0,,327.0,27.0,3532.0,1041.0,2950.0,38.0,16631.0,21070.0,70803.0,54276.0,13762.0,4730.0,,,2745.0,1924.0,,2290.0,2329.0
India,Terrestrial,593.0,8356.0,13692.0,12667.0,,327.0,27.0,3532.0,1041.0,2950.0,38.0,16631.0,21070.0,70803.0,54276.0,13762.0,4730.0,,,2745.0,1924.0,,2290.0,2329.0
Indonesia,Marine,,,1015.0,50.0,,,,,28.3012,65.8643,16.5336,9.7103,1133.0562,,,55.0,,250.0,1050.0,,1845.0,,51.0,58.0
Indonesia,Terrestrial,,,1015.0,50.0,,,,,28.3012,65.8643,16.5336,9.7103,1133.0562,,,55.0,,250.0,1050.0,,1845.0,,51.0,58.0
International Waters,Marine,1465000.0,340000.0,344005.0,980000.0,347000.0,354000.0,354000.0,354000.0,1587000.0,1315000.0,1429000.0,,,,,,,,,,,,,
"Iran, Islamic Republic Of",Freshwater,51807.0,87.0,106.0,358.0,802.0,122603.0,240.0,363.0,9.0,27.0,50.0,6.0,593.0,63.0,23.0,10.0,2.0,,,,,,,
"Iran, Islamic Republic Of",Terrestrial,,87.0,106.0,358.0,802.0,122603.0,240.0,363.0,9.0,27.0,50.0,6.0,593.0,63.0,23.0,10.0,2.0,,,,,,,
Ireland,Freshwater,,,,,6752.0,408.815,,,,7006.0,337.0881,,53.0,8719.0,57.0,336.837,92.0,12203.0,119.0,88.0,95.0,,,
Ireland,Marine,,,,,6752.0,408.815,,,,7006.0,337.0881,,53.0,8719.0,57.0,336.837,92.0,12203.0,119.0,88.0,95.0,,,
