True,Country,Source,Variable,Year,Unit,Value
113,Denmark,Fresh surface water,Manufacturing industry,2011,Cubic metres,4.0
114,Denmark,Fresh surface water,Manufacturing industry,2012,Cubic metres,2.5
115,Denmark,Fresh surface water,Manufacturing industry,2013,Cubic metres,3.13
116,Denmark,Fresh surface water,Manufacturing industry,2014,Cubic metres,1.88
117,Denmark,Fresh surface water,Manufacturing industry,2015,Cubic metres,9.97
118,Finland,Fresh surface water,Public water supply,2010,Cubic metres,170.0
119,Finland,Fresh surface water,Public water supply,2011,Cubic metres,160.0
120,Finland,Fresh surface water,Public water supply,2012,Cubic metres,165.0
121,Finland,Fresh surface water,Public water supply,2013,Cubic metres,165.0
122,Finland,Fresh surface water,Irrigation,2010,Cubic metres,4.23
123,Finland,Fresh surface water,Manufacturing industry,2009,Cubic metres,1283.0
124,Finland,Fresh surface water,Manufacturing industry,2010,Cubic metres,1414.0
125,Finland,Fresh surface water,Manufacturing industry,2012,Cubic metres,1259.0
126,Finland,Fresh surface water,Manufacturing industry,2013,Cubic metres,1417.0
127,France,Fresh surface water,Total gross abstraction,2008,Cubic metres,23379.364559999998
128,France,Fresh surface water,Total gross abstraction,2009,Cubic metres,23472.62913
129,France,Fresh surface water,Total gross abstraction,2010,Cubic metres,22355.87719
130,France,Fresh surface water,Total gross abstraction,2011,Cubic metres,22407.92249
131,France,Fresh surface water,Total gross abstraction,2012,Cubic metres,24399.3252
132,France,Fresh surface water,Total gross abstraction,2013,Cubic metres,22206.6937
133,France,Fresh surface water,Public water supply,2008,Cubic metres,1788.94678
134,France,Fresh surface water,Public water supply,2009,Cubic metres,1789.57019
135,France,Fresh surface water,Public water supply,2010,Cubic metres,1772.97022
136,France,Fresh surface water,Public water supply,2011,Cubic metres,1750.24207
137,France,Fresh surface water,Public water supply,2012,Cubic metres,1951.75162
138,France,Fresh surface water,Public water supply,2013,Cubic metres,1701.1423100000002
139,France,Fresh surface water,"Agriculture, forestry, fishing",2008,Cubic metres,1637.7694099999999
140,France,Fresh surface water,"Agriculture, forestry, fishing",2009,Cubic metres,1949.03796
141,France,Fresh surface water,"Agriculture, forestry, fishing",2010,Cubic metres,1831.48071
142,France,Fresh surface water,"Agriculture, forestry, fishing",2011,Cubic metres,1819.9711899999998
143,France,Fresh surface water,"Agriculture, forestry, fishing",2012,Cubic metres,1879.8892
144,France,Fresh surface water,"Agriculture, forestry, fishing",2013,Cubic metres,1745.99209
145,France,Fresh surface water,Manufacturing industry,2008,Cubic metres,1246.00802
146,France,Fresh surface water,Manufacturing industry,2009,Cubic metres,1222.31952
147,France,Fresh surface water,Manufacturing industry,2010,Cubic metres,1023.0
148,France,Fresh surface water,Manufacturing industry,2011,Cubic metres,1074.0
149,France,Fresh surface water,Manufacturing industry,2012,Cubic metres,985.0
150,France,Fresh surface water,Manufacturing industry,2013,Cubic metres,904.0
151,Germany,Fresh surface water,Total gross abstraction,2010,Cubic metres,27195.010360000004
152,Germany,Fresh surface water,Total gross abstraction,2013,Cubic metres,19411.13363
153,Germany,Fresh surface water,Public water supply,2010,Cubic metres,1545.80896
154,Germany,Fresh surface water,Public water supply,2013,Cubic metres,1554.4560000000001
155,Germany,Fresh surface water,"Agriculture, forestry, fishing",2010,Cubic metres,54.09078
156,Germany,Fresh surface water,"Agriculture, forestry, fishing",2013,Cubic metres,42.49373
157,Germany,Fresh surface water,Irrigation,2010,Cubic metres,28.372359999999997
158,Germany,Fresh surface water,Irrigation,2013,Cubic metres,23.11981
159,Germany,Fresh surface water,Manufacturing industry,2010,Cubic metres,3895.95996
160,Germany,Fresh surface water,Manufacturing industry,2013,Cubic metres,3496.4764200000004
161,Greece,Fresh surface water,Total gross abstraction,2011,Cubic metres,4319.34
162,Greece,Fresh surface water,Total gross abstraction,2012,Cubic metres,4319.77
163,Greece,Fresh surface water,Total gross abstraction,2013,Cubic metres,4310.15
164,Greece,Fresh surface water,Total gross abstraction,2014,Cubic metres,4305.81
165,Greece,Fresh surface water,Total gross abstraction,2015,Cubic metres,4296.51
166,Greece,Fresh surface water,Public water supply,2011,Cubic metres,628.5
167,Greece,Fresh surface water,Public water supply,2012,Cubic metres,628.5
168,Greece,Fresh surface water,Public water supply,2013,Cubic metres,628.5
169,Greece,Fresh surface water,Public water supply,2014,Cubic metres,628.5
170,Greece,Fresh surface water,Public water supply,2015,Cubic metres,628.5
171,Greece,Fresh surface water,"Agriculture, forestry, fishing",2011,Cubic metres,3615.4
172,Greece,Fresh surface water,"Agriculture, forestry, fishing",2012,Cubic metres,3615.4
173,Greece,Fresh surface water,"Agriculture, forestry, fishing",2013,Cubic metres,3615.4
174,Greece,Fresh surface water,"Agriculture, forestry, fishing",2014,Cubic metres,3615.4
175,Greece,Fresh surface water,"Agriculture, forestry, fishing",2015,Cubic metres,3615.4
176,Greece,Fresh surface water,Irrigation,2011,Cubic metres,3612.78
177,Greece,Fresh surface water,Irrigation,2012,Cubic metres,3612.78
178,Greece,Fresh surface water,Irrigation,2013,Cubic metres,3612.78
179,Greece,Fresh surface water,Irrigation,2014,Cubic metres,3612.78
180,Greece,Fresh surface water,Irrigation,2015,Cubic metres,3612.78
181,Hungary,Fresh surface water,Total gross abstraction,2008,Cubic metres,4926.0
182,Hungary,Fresh surface water,Total gross abstraction,2009,Cubic metres,5784.0
183,Hungary,Fresh surface water,Total gross abstraction,2010,Cubic metres,4835.0
184,Hungary,Fresh surface water,Total gross abstraction,2011,Cubic metres,4690.0
185,Hungary,Fresh surface water,Total gross abstraction,2012,Cubic metres,4516.0
186,Hungary,Fresh surface water,Public water supply,2008,Cubic metres,280.0
187,Hungary,Fresh surface water,Public water supply,2009,Cubic metres,264.0
188,Hungary,Fresh surface water,Public water supply,2010,Cubic metres,248.0
189,Hungary,Fresh surface water,Public water supply,2011,Cubic metres,255.0
190,Hungary,Fresh surface water,Public water supply,2012,Cubic metres,254.0
191,Hungary,Fresh surface water,Public water supply,2013,Cubic metres,254.5024
192,Hungary,Fresh surface water,Public water supply,2014,Cubic metres,237.9111
193,Hungary,Fresh surface water,Public water supply,2015,Cubic metres,253.10528
194,Hungary,Fresh surface water,Public water supply,2016,Cubic metres,251.42016
195,Hungary,Fresh surface water,"Agriculture, forestry, fishing",2008,Cubic metres,293.0
196,Hungary,Fresh surface water,"Agriculture, forestry, fishing",2009,Cubic metres,340.0
197,Hungary,Fresh surface water,"Agriculture, forestry, fishing",2010,Cubic metres,228.0
198,Hungary,Fresh surface water,"Agriculture, forestry, fishing",2011,Cubic metres,276.0
199,Hungary,Fresh surface water,"Agriculture, forestry, fishing",2012,Cubic metres,264.0
200,Hungary,Fresh surface water,Irrigation,2008,Cubic metres,110.0
201,Hungary,Fresh surface water,Irrigation,2009,Cubic metres,128.0
